contrast,ratio,SE,df,null,z.ratio,p.value,rep,beta_0,beta_s,beta_l,beta_t,beta_sl,beta_st,beta_lt,beta_slt,sigma
(switch / repetition incongruent) / (switch / repetition neutral),1.0401700838306000,0.014740276478159400,Inf,1,2.7792090797635700,0.005449143922988000,7,6.945,0.0875,-0.0171,0.041,0.0101,0.013000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.072456337679550,0.013017244207880500,Inf,1,5.763132358731540,8.25669921242618E-09,7,6.945,0.0875,-0.0171,0.041,0.0101,0.014,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0629548516916800,0.01149571242011890,Inf,1,5.6452512517615200,1.64940190729998E-08,7,6.945,0.0875,-0.0171,0.041,0.0101,0.015,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0153875368476800,0.013037131310032300,Inf,1,1.1893201057281200,0.23431372648070500,8,6.945,0.0875,-0.0171,0.041,0.0101,0,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0098743335482600,0.010837380087458400,Inf,1,0.915620290631241,0.35986608521126100,8,6.945,0.0875,-0.0171,0.041,0.0101,0.001,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0110472185301000,0.0115536094523131,Inf,1,0.9614324965057480,0.3363347514045930,8,6.945,0.0875,-0.0171,0.041,0.0101,0.002,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9925515015111990,0.012113450925824500,Inf,1,-0.6125991129837740,0.5401414448948710,8,6.945,0.0875,-0.0171,0.041,0.0101,0.003,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0197745941305300,0.0121690671968042,Inf,1,1.640950364467940,0.1008077190267560,8,6.945,0.0875,-0.0171,0.041,0.0101,0.004,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0232799598024100,0.013623971220662800,Inf,1,1.728487167011490,0.08390091981471160,8,6.945,0.0875,-0.0171,0.041,0.0101,0.005,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0067331339661000,0.01157924941324090,Inf,1,0.5834359868714860,0.5595998379300530,8,6.945,0.0875,-0.0171,0.041,0.0101,0.006,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.040325267838540,0.01265276668478080,Inf,1,3.250484154086390,0.0011520868859939000,8,6.945,0.0875,-0.0171,0.041,0.0101,0.007,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0348697076175000,0.011104021468857600,Inf,1,3.194402165641860,0.0014012076931169900,8,6.945,0.0875,-0.0171,0.041,0.0101,0.008,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.063547391089730,0.01480952491909280,Inf,1,4.424521778743250,9.66561531883269E-06,8,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
